"Store","Brand","Product_Category","State","Sales"
"Deluxe Supermarket","Jumbo","Household","Yucatan","1903604.92"
"Deluxe Supermarket","Jumbo","Household","USA","5094262.01"
"Deluxe Supermarket","Jumbo","Household","Oregon","1860799.47"
"Deluxe Supermarket","Jumbo","Household","Texas","1212948.26"
"Deluxe Supermarket","Jumbo","Household","Washington","2020514.28"
"Deluxe Supermarket","Sunset","Drink","Canada","16951027.64"
"Deluxe Supermarket","Sunset","Drink","British Columbia","8828748.23"
"Deluxe Supermarket","Sunset","Drink","Ontario","8122279.41"
"Deluxe Supermarket","Sunset","Drink","Mexico","9999273.44"
"Deluxe Supermarket","Sunset","Drink","Sonora","1492970.13"
"Deluxe Supermarket","Sunset","Drink","Yucatan","8506303.31"
"Deluxe Supermarket","Sunset","Drink","USA","26109625.87"
"Deluxe Supermarket","Sunset","Drink","Oregon","9818972.18"
"Deluxe Supermarket","Sunset","Drink","Texas","6385879.38"
"Deluxe Supermarket","Sunset","Drink","Washington","9904774.31"
"Deluxe Supermarket","Sunset","Food","Canada","159635577.75"
"Deluxe Supermarket","Sunset","Food","British Columbia","78247486.56"
"Deluxe Supermarket","Sunset","Food","Ontario","81388091.19"
"Deluxe Supermarket","Sunset","Food","Mexico","92697213.79"
"Deluxe Supermarket","Sunset","Food","Sonora","15336375.39"
"Deluxe Supermarket","Sunset","Food","Yucatan","77360838.4"
"Deluxe Supermarket","Sunset","Food","USA","243121382.44"
"Deluxe Supermarket","Sunset","Food","Oregon","96086448.92"
"Deluxe Supermarket","Sunset","Food","Texas","53964400.04"
"Deluxe Supermarket","Sunset","Food","Washington","93070533.48"
"Deluxe Supermarket","Sunset","Health and Hygiene","Canada","16259244.66"
"Deluxe Supermarket","Sunset","Health and Hygiene","British Columbia","7487031.91"
"Deluxe Supermarket","Sunset","Health and Hygiene","Ontario","8772212.75"
"Deluxe Supermarket","Sunset","Health and Hygiene","Mexico","8720244.75"
"Deluxe Supermarket","Sunset","Health and Hygiene","Sonora","1742786.62"
"Deluxe Supermarket","Sunset","Health and Hygiene","Yucatan","6977458.13"
"Deluxe Supermarket","Sunset","Health and Hygiene","USA","25087005.29"
"Deluxe Supermarket","Sunset","Health and Hygiene","Oregon","9282528.41"
"Deluxe Supermarket","Sunset","Health and Hygiene","Texas","6232497.56"
"Deluxe Supermarket","Sunset","Health and Hygiene","Washington","9571979.32"
"Deluxe Supermarket","Sunset","Household","Canada","46959964.55"
"Deluxe Supermarket","Sunset","Household","British Columbia","24120514.55"
"Deluxe Supermarket","Sunset","Household","Ontario","22839450"
"Deluxe Supermarket","Sunset","Household","Mexico","28946105.57"
"Deluxe Supermarket","Sunset","Household","Sonora","4489437.94"
"Deluxe Supermarket","Sunset","Household","Yucatan","24456667.63"
"Deluxe Supermarket","Sunset","Household","USA","70771803.23"
"Deluxe Supermarket","Sunset","Household","Oregon","27464997.95"
"Deluxe Supermarket","Sunset","Household","Texas","17474856.13"
"Deluxe Supermarket","Sunset","Household","Washington","25831949.15"
"Deluxe Supermarket","Sunset","Other","Canada","40006259.19"
"Deluxe Supermarket","Sunset","Other","British Columbia","19355442.46"
"Deluxe Supermarket","Sunset","Other","Ontario","20650816.73"
"Deluxe Supermarket","Sunset","Other","Mexico","25884365.45"
"Deluxe Supermarket","Sunset","Other","Sonora","5088610.37"
"Deluxe Supermarket","Sunset","Other","Yucatan","20795755.08"
"Deluxe Supermarket","Sunset","Other","USA","63077831.34"
"Deluxe Supermarket","Sunset","Other","Oregon","24446680.92"
"Deluxe Supermarket","Sunset","Other","Texas","13915684.38"
"Deluxe Supermarket","Sunset","Other","Washington","24715466.04"
"Gourmet Supermarket","Even Better","Drink","Canada","4669049.83"
"Gourmet Supermarket","Even Better","Drink","Ontario","4669049.83"
"Gourmet Supermarket","Even Better","Drink","USA","4970873.52"
"Gourmet Supermarket","Even Better","Drink","California","4970873.52"
"Gourmet Supermarket","Even Better","Food","Canada","17737573.99"
"Gourmet Supermarket","Even Better","Food","Ontario","17737573.99"
"Gourmet Supermarket","Even Better","Food","USA","19944545.63"
"Gourmet Supermarket","Even Better","Food","California","19944545.63"
"Gourmet Supermarket","Even Better","Health and Hygiene","Canada","5123029.06"
"Gourmet Supermarket","Even Better","Health and Hygiene","Ontario","5123029.06"
"Gourmet Supermarket","Even Better","Health and Hygiene","USA","6625021.45"
"Gourmet Supermarket","Even Better","Health and Hygiene","California","6625021.45"
"Gourmet Supermarket","Even Better","Household","Canada","3404263.82"
"Gourmet Supermarket","Even Better","Household","Ontario","3404263.82"
"Gourmet Supermarket","Even Better","Household","USA","4277313.97"
"Gourmet Supermarket","Even Better","Household","California","4277313.97"
"Gourmet Supermarket","Hermanos","Drink","Canada","6967219.65"
"Gourmet Supermarket","Hermanos","Drink","Ontario","6967219.65"
"Gourmet Supermarket","Hermanos","Drink","USA","8630521.48"
"Gourmet Supermarket","Hermanos","Drink","California","8630521.48"
"Gourmet Supermarket","Hermanos","Food","Canada","65008608.11"
"Gourmet Supermarket","Hermanos","Food","Ontario","65008608.11"
"Gourmet Supermarket","Hermanos","Food","USA","73355599.12"
"Gourmet Supermarket","Hermanos","Food","California","73355599.12"
"Gourmet Supermarket","Hermanos","Health and Hygiene","Canada","4123344.31"
"Gourmet Supermarket","Hermanos","Health and Hygiene","Ontario","4123344.31"
"Gourmet Supermarket","Hermanos","Health and Hygiene","USA","4363544.37"
"Gourmet Supermarket","Hermanos","Health and Hygiene","California","4363544.37"
"Gourmet Supermarket","Hermanos","Household","Canada","10391808.76"
"Gourmet Supermarket","Hermanos","Household","Ontario","10391808.76"
"Gourmet Supermarket","Hermanos","Household","USA","12384100.46"
"Gourmet Supermarket","Hermanos","Household","California","12384100.46"
"Gourmet Supermarket","Hermanos","Other","Canada","20303589.26"
"Gourmet Supermarket","Hermanos","Other","Ontario","20303589.26"
"Gourmet Supermarket","Hermanos","Other","USA","25095154.69"
"Gourmet Supermarket","Hermanos","Other","California","25095154.69"
"Gourmet Supermarket","Jumbo","Food","Canada","9601329.96"
"Gourmet Supermarket","Jumbo","Food","Ontario","9601329.96"
"Gourmet Supermarket","Jumbo","Food","USA","10964391.39"
"Gourmet Supermarket","Jumbo","Food","California","10964391.39"
"Gourmet Supermarket","Jumbo","Health and Hygiene","Canada","435474.82"
"Gourmet Supermarket","Jumbo","Health and Hygiene","Ontario","435474.82"
"Gourmet Supermarket","Jumbo","Health and Hygiene","USA","398902.76"
"Gourmet Supermarket","Jumbo","Health and Hygiene","California","398902.76"
"Gourmet Supermarket","Jumbo","Household","Canada","801779.9"
"Gourmet Supermarket","Jumbo","Household","Ontario","801779.9"
"Gourmet Supermarket","Jumbo","Household","USA","1140928.19"
"Gourmet Supermarket","Jumbo","Household","California","1140928.19"
"Gourmet Supermarket","Sunset","Drink","Canada","4695584.31"
"Gourmet Supermarket","Sunset","Drink","Ontario","4695584.31"
"Gourmet Supermarket","Sunset","Drink","USA","7431072.78"
"Gourmet Supermarket","Sunset","Drink","California","7431072.78"
"Gourmet Supermarket","Sunset","Food","Canada","51413226.31"
"Gourmet Supermarket","Sunset","Food","Ontario","51413226.31"
"Gourmet Supermarket","Sunset","Food","USA","56575652.62"
"Gourmet Supermarket","Sunset","Food","California","56575652.62"
"Gourmet Supermarket","Sunset","Health and Hygiene","Canada","5934361.63"
"Gourmet Supermarket","Sunset","Health and Hygiene","Ontario","5934361.63"
"Gourmet Supermarket","Sunset","Health and Hygiene","USA","5785902.94"
"Gourmet Supermarket","Sunset","Health and Hygiene","California","5785902.94"
"Gourmet Supermarket","Sunset","Household","Canada","15151827.22"
"Gourmet Supermarket","Sunset","Household","Ontario","15151827.22"
"Gourmet Supermarket","Sunset","Household","USA","16506032.6"
"Gourmet Supermarket","Sunset","Household","California","16506032.6"
"Gourmet Supermarket","Sunset","Other","Canada","13725770"
"Gourmet Supermarket","Sunset","Other","Ontario","13725770"
"Gourmet Supermarket","Sunset","Other","USA","14873846.48"
"Gourmet Supermarket","Sunset","Other","California","14873846.48"
"Mid-Size Grocery","Even Better","Drink","Canada","4005429.13"
"Mid-Size Grocery","Even Better","Drink","British Columbia","2252660.85"
"Mid-Size Grocery","Even Better","Drink","Ontario","1752768.28"
"Mid-Size Grocery","Even Better","Drink","Mexico","350331.24"
"Mid-Size Grocery","Even Better","Drink","Sonora","350331.24"
"Mid-Size Grocery","Even Better","Drink","USA","2856087.87"
"Mid-Size Grocery","Even Better","Drink","Texas","1040588.84"
"Mid-Size Grocery","Even Better","Drink","Washington","1815499.03"
"Mid-Size Grocery","Even Better","Food","Canada","14357886.38"
"Mid-Size Grocery","Even Better","Food","British Columbia","7364225.17"
"Mid-Size Grocery","Even Better","Food","Ontario","6993661.21"
"Mid-Size Grocery","Even Better","Food","Mexico","1591083.13"
"Mid-Size Grocery","Even Better","Food","Sonora","1591083.13"
"Mid-Size Grocery","Even Better","Food","USA","14475181.58"
"Mid-Size Grocery","Even Better","Food","Texas","5324416.46"
"Mid-Size Grocery","Even Better","Food","Washington","9150765.12"
"Mid-Size Grocery","Even Better","Health and Hygiene","Canada","4445694.06"
"Mid-Size Grocery","Even Better","Health and Hygiene","British Columbia","2204135.81"
"Mid-Size Grocery","Even Better","Health and Hygiene","Ontario","2241558.25"
"Mid-Size Grocery","Even Better","Health and Hygiene","Mexico","681103.64"
"Mid-Size Grocery","Even Better","Health and Hygiene","Sonora","681103.64"
"Mid-Size Grocery","Sunset","Food","Mexico","4850964.71"
"Mid-Size Grocery","Sunset","Food","Sonora","4850964.71"
"Mid-Size Grocery","Sunset","Food","USA","46491560.9"
"Mid-Size Grocery","Sunset","Food","Texas","18719299.98"
"Mid-Size Grocery","Sunset","Food","Washington","27772260.92"
"Mid-Size Grocery","Sunset","Health and Hygiene","Canada","4508337.31"
"Mid-Size Grocery","Sunset","Health and Hygiene","British Columbia","2301987.75"
"Mid-Size Grocery","Sunset","Health and Hygiene","Ontario","2206349.56"
"Mid-Size Grocery","Sunset","Health and Hygiene","Mexico","385365.86"
"Mid-Size Grocery","Sunset","Health and Hygiene","Sonora","385365.86"
"Mid-Size Grocery","Sunset","Health and Hygiene","USA","4563110.21"
"Mid-Size Grocery","Sunset","Health and Hygiene","Texas","2070206.53"
"Mid-Size Grocery","Sunset","Health and Hygiene","Washington","2492903.68"
"Mid-Size Grocery","Sunset","Household","Canada","12634374.07"
"Mid-Size Grocery","Sunset","Household","British Columbia","6192852.86"
"Mid-Size Grocery","Sunset","Household","Ontario","6441521.21"
"Mid-Size Grocery","Sunset","Household","Mexico","1465846.28"
"Mid-Size Grocery","Sunset","Household","Sonora","1465846.28"
"Mid-Size Grocery","Sunset","Household","USA","13128837.73"
"Mid-Size Grocery","Sunset","Household","Texas","5593258.09"
"Mid-Size Grocery","Sunset","Household","Washington","7535579.64"
"Mid-Size Grocery","Sunset","Other","Canada","11731109.74"
"Mid-Size Grocery","Sunset","Other","British Columbia","5320536.16"
"Mid-Size Grocery","Sunset","Other","Ontario","6410573.58"
"Mid-Size Grocery","Sunset","Other","Mexico","1530421.19"
"Mid-Size Grocery","Sunset","Other","Sonora","1530421.19"
"Mid-Size Grocery","Sunset","Other","USA","12283742.65"
"Mid-Size Grocery","Sunset","Other","Texas","5017174.78"
"Mid-Size Grocery","Sunset","Other","Washington","7266567.87"


